# 全国个人账户记账利率（统一）

## 数据说明
- 2016 年起全国统一，各省执行相同利率
- 2016 年之前各省自行确定（但数值相近，此处为通用参考值）
- 数据来源：人社部、财政部统一公布 / 剪刀财经整理《缴费基数&记账利率 1996-2025年》

## 完整数据表（1996-2025年）

年份，记账利率
1996,8.04%
1997,5.67%
1998,4.47%
1999,2.25%
2000,2.25%
2001,2.25%
2002,2.25%
2003,1.98%
2004,1.98%
2005,2.25%
2006,2.52%
2007,4.14%
2008,4.14%
2009,2.25%
2010,2.25%
2011,3.50%
2012,3.50%
2013,3.00%
2014,3.50%
2015,3.50%
2016,8.31%
2017,7.12%
2018,8.29%
2019,7.61%
2020,6.04%
2021,5.35%
2022,6.12%
2023,3.97%
2024,2.62%
2025,1.50%

## 数据说明

- 1996-2015 年：各省自行制定，此为全国通用参考值（来源：剪刀财经）
- 2016 年起：全国统一执行（人社部、财政部公布）
- 2025 年数据初步为 1.5%，最终数据以官方公布为准
